robot_id	message_ts_sec	message_ts_nanosec	processing_ts	arrival_ts
robot_8	1779990141	994907245	1779990141995879088	1779990141996465251
robot_8	1779990142	94913766	1779990142096112328	1779990142096815998
robot_8	1779990143	95155498	1779990143098155804	1779990143139367508
robot_8	1779990143	194949601	1779990143195933886	1779990143196526601
robot_8	1779990143	295187683	1779990143296448618	1779990143297409588
robot_8	1779990143	394943780	1779990143395928479	1779990143396596985
robot_8	1779990143	495326955	1779990143498899485	1779990143499594660
robot_8	1779990143	595384071	1779990143596717281	1779990143597897494
robot_8	1779990143	694823939	1779990143695804957	1779990143696390109
robot_8	1779990143	794843990	1779990143795817430	1779990143796443477
robot_8	1779990143	895050286	1779990143897863915	1779990143898418252
robot_8	1779990143	995178712	1779990143996357543	1779990143996959564
robot_8	1779990144	94860204	1779990144095926671	1779990144096496004
robot_8	1779990145	194918061	1779990145195952372	1779990145196534176
robot_8	1779990145	294854511	1779990145295982320	1779990145296564287
robot_8	1779990145	395736059	1779990145397375663	1779990145397978786
robot_8	1779990145	495008780	1779990145498803308	1779990145499409668
robot_8	1779990145	595156881	1779990145596307921	1779990145597296308
robot_8	1779990145	695163159	1779990145696341258	1779990145696979860
robot_8	1779990145	795385399	1779990145796820503	1779990145797492981
robot_8	1779990145	895001024	1779990145898308505	1779990145898847075
robot_8	1779990145	995044070	1779990145996081483	1779990145996697343
robot_8	1779990146	94923953	1779990146095949241	1779990146096527973
robot_8	1779990147	194871836	1779990147195831237	1779990147196470274
robot_8	1779990147	294871826	1779990147295850092	1779990147296411598
robot_8	1779990147	394917428	1779990147395997064	1779990147396570408
robot_8	1779990147	496370434	1779990147499507787	1779990147500658154
robot_8	1779990147	594906627	1779990147595908117	1779990147600248264
robot_8	1779990147	695203267	1779990147696057508	1779990147696672617
robot_8	1779990147	795036094	1779990147795941963	1779990147796811829
robot_8	1779990147	895029575	1779990147900306052	1779990147900944119
robot_8	1779990147	995076445	1779990147996023839	1779990147996565244
robot_8	1779990148	94846193	1779990148095885744	1779990148096573407
robot_8	1779990149	194938768	1779990149195941191	1779990149196493086
robot_8	1779990149	295309031	1779990149296608246	1779990149297390885
robot_8	1779990149	395187379	1779990149396665090	1779990149397693646
robot_8	1779990149	495195030	1779990149501208532	1779990149502160761
robot_8	1779990149	594937096	1779990149596139926	1779990149597002567
robot_8	1779990149	695107486	1779990149696159610	1779990149696984641
robot_8	1779990149	794793697	1779990149795637790	1779990149796225177
robot_8	1779990149	894952919	1779990149897276364	1779990149897801593
robot_8	1779990149	994841479	1779990149995732364	1779990149996278993
robot_8	1779990150	94887476	1779990150095862884	1779990150096391295
robot_8	1779990151	194929170	1779990151195829096	1779990151196433633
robot_8	1779990151	295289584	1779990151296762457	1779990151297900813
robot_8	1779990151	394814555	1779990151395806835	1779990151396510053
robot_8	1779990151	495138754	1779990151500579426	1779990151501554057
robot_8	1779990151	594971418	1779990151596049540	1779990151596640561
robot_8	1779990151	697400897	1779990151700813177	1779990151701430300
robot_8	1779990151	794889536	1779990151795965651	1779990151796723986
robot_8	1779990151	895867045	1779990151899259146	1779990151900212010
robot_8	1779990151	994983163	1779990151996714548	1779990151997644577
robot_8	1779990152	95131576	1779990152096292775	1779990152096851624
robot_8	1779990153	194899401	1779990153195907219	1779990153196456199
robot_8	1779990153	294897698	1779990153295976137	1779990153296661458
robot_8	1779990153	394924432	1779990153395986117	1779990153396595158
robot_8	1779990153	495435686	1779990153498436617	1779990153499180508
robot_8	1779990153	594924851	1779990153596368761	1779990153597182753
robot_8	1779990153	694914039	1779990153695845268	1779990153696394445
robot_8	1779990153	794805425	1779990153795677292	1779990153796260053
robot_8	1779990153	895082797	1779990153898185624	1779990153898829614
robot_8	1779990153	994893784	1779990153995834822	1779990153996453081
robot_8	1779990154	94889603	1779990154095871634	1779990154096490224
robot_8	1779990155	194988735	1779990155196163675	1779990155196926224
robot_8	1779990155	295137686	1779990155296600600	1779990155297777396
robot_8	1779990155	395208094	1779990155397270616	1779990155398082172
robot_8	1779990155	495022452	1779990155501647178	1779990155502507090
robot_8	1779990155	594924686	1779990155595970422	1779990155596658670
robot_8	1779990155	694851330	1779990155695782357	1779990155696376337
robot_8	1779990155	794736945	1779990155795600012	1779990155796166398
robot_8	1779990155	895295945	1779990155897900690	1779990155898693806
robot_8	1779990155	995115351	1779990155996068489	1779990155996653249
robot_8	1779990156	94908157	1779990156096045746	1779990156096597242
robot_8	1779990157	194895210	1779990157195845639	1779990157196397402
robot_8	1779990157	294852331	1779990157296544766	1779990157297157040
robot_8	1779990157	394894415	1779990157396059861	1779990157396731421
robot_8	1779990157	495044992	1779990157497920206	1779990157498527998
robot_8	1779990157	594816015	1779990157595740077	1779990157596295830
robot_8	1779990157	694828344	1779990157695865538	1779990157696427170
robot_8	1779990157	794793770	1779990157795811078	1779990157796350491
robot_8	1779990157	895327583	1779990157897748520	1779990157898355826
robot_8	1779990157	994824733	1779990157995896485	1779990157996435001
robot_8	1779990158	94843145	1779990158095834760	1779990158096386023
robot_8	1779990159	195171883	1779990159198230086	1779990159199292099
robot_8	1779990159	294906401	1779990159295908778	1779990159296507017
robot_8	1779990159	394789607	1779990159395676524	1779990159396277796
robot_8	1779990159	495024594	1779990159498057337	1779990159498740622
robot_8	1779990159	594929208	1779990159595953579	1779990159596483001
robot_8	1779990159	694864349	1779990159695830457	1779990159696423838
robot_8	1779990159	794735608	1779990159795666972	1779990159796257613
robot_8	1779990159	895002044	1779990159897739582	1779990159898358190
robot_8	1779990159	994856302	1779990159995810875	1779990159996359287
robot_8	1779990160	94820200	1779990160095865268	1779990160096428104
robot_8	1779990161	195076369	1779990161196369716	1779990161198441141
robot_8	1779990161	294866108	1779990161295778214	1779990161296330458
robot_8	1779990161	394957361	1779990161396051504	1779990161396638104
robot_8	1779990161	495452917	1779990161498363389	1779990161499193753
robot_8	1779990161	594904989	1779990161596206130	1779990161596935378
robot_8	1779990161	695075735	1779990161696157542	1779990161696761657
robot_8	1779990161	794810566	1779990161795816718	1779990161796345529
robot_8	1779990161	895018075	1779990161897635082	1779990161898331614
robot_8	1779990161	994856373	1779990161995817799	1779990161996374095
robot_8	1779990162	94839669	1779990162095750714	1779990162096315626
robot_8	1779990163	195311248	1779990163196352933	1779990163197127851
robot_8	1779990163	294794166	1779990163295722118	1779990163296312662
robot_8	1779990163	394777988	1779990163395722188	1779990163396271534
robot_8	1779990163	494974332	1779990163498054041	1779990163498686990
robot_8	1779990163	594979630	1779990163596128596	1779990163596862994
robot_8	1779990163	694822451	1779990163695729806	1779990163696268639
robot_8	1779990163	794788447	1779990163795914068	1779990163796484654
robot_8	1779990163	895259565	1779990163898269435	1779990163898905013
robot_8	1779990163	994891399	1779990163995929466	1779990163996564078
robot_8	1779990164	94899890	1779990164095875917	1779990164096539271
robot_8	1779990165	194995914	1779990165198329698	1779990165199166711
robot_8	1779990165	294962911	1779990165296044191	1779990165296591650
robot_8	1779990165	394751107	1779990165395653721	1779990165396241778
robot_8	1779990165	495270916	1779990165498314354	1779990165498908621
robot_8	1779990165	594841410	1779990165595751631	1779990165596274948
robot_8	1779990165	694965476	1779990165696046798	1779990165696718408
robot_8	1779990165	794855367	1779990165795679579	1779990165796244033
robot_8	1779990165	895150905	1779990165897796130	1779990165898432247
robot_8	1779990165	994918472	1779990165995885941	1779990165996472922
robot_8	1779990166	94994665	1779990166096020312	1779990166096611855
robot_8	1779990167	195156063	1779990167198589962	1779990167199374759
robot_8	1779990167	294918659	1779990167295950259	1779990167296661004
robot_8	1779990167	394822859	1779990167395716420	1779990167396293719
robot_8	1779990167	495084995	1779990167497233713	1779990167497826535
robot_8	1779990167	594868249	1779990167595788239	1779990167596384318
robot_8	1779990167	694858203	1779990167695856266	1779990167696497296
robot_8	1779990167	794896463	1779990167795805051	1779990167796386991
robot_8	1779990167	894957374	1779990167899196721	1779990167899810167
robot_8	1779990167	994971840	1779990167996018308	1779990167996669066
robot_8	1779990168	95005181	1779990168096154802	1779990168096860199
robot_8	1779990169	195047570	1779990169196218655	1779990169196932851
robot_8	1779990169	294892509	1779990169296225304	1779990169297084603
robot_8	1779990169	394775620	1779990169395566115	1779990169396138864
robot_8	1779990169	495054587	1779990169499983385	1779990169500726690
robot_8	1779990169	594956392	1779990169595964319	1779990169596570189
robot_8	1779990169	694848620	1779990169695881050	1779990169696456859
robot_8	1779990169	895064760	1779990169897952725	1779990169898578441
robot_8	1779990169	994867338	1779990169995891886	1779990169996475637
robot_8	1779990193	195013871	1779990193197168209	1779990193198253822
robot_8	1779990193	294871587	1779990193295828442	1779990193296416579
robot_8	1779990193	394812026	1779990193395741500	1779990193396290054
robot_8	1779990193	495065463	1779990193498444221	1779990193499055407
robot_8	1779990193	594993407	1779990193595948440	1779990193596515322
robot_8	1779990193	694878996	1779990193695838195	1779990193696397057
robot_8	1779990193	794895894	1779990193795856342	1779990193796383560
robot_8	1779990193	895035334	1779990193898004842	1779990193898588034
robot_8	1779990193	994865215	1779990193995896910	1779990193996457489
robot_8	1779990194	94935303	1779990194095906654	1779990194096433572
robot_8	1779990195	194985115	1779990195197708613	1779990195198524587
robot_8	1779990195	294814045	1779990195295771180	1779990195296316198
robot_8	1779990195	394977784	1779990195396194886	1779990195396851529
robot_8	1779990195	495014644	1779990195498051765	1779990195498683801
robot_8	1779990195	594972358	1779990195596015924	1779990195596665518
robot_8	1779990195	694840677	1779990195695675563	1779990195696205370
robot_8	1779990195	794718572	1779990195795693491	1779990195796307599
robot_7	1779990195	833199220	1779990195834278675	1779990195835021014
robot_8	1779990195	895011031	1779990195898430266	1779990195898970099
robot_7	1779990195	933203900	1779990195934225719	1779990195935015811
robot_8	1779990195	994871437	1779990195995760135	1779990195996351951
robot_7	1779990196	33052883	1779990196034085381	1779990196034839273
robot_8	1779990196	94810573	1779990196095652441	1779990196096285431
robot_7	1779990196	133441487	1779990196134773018	1779990196135836801
robot_6	1779990197	192173698	1779990197193709599	1779990197198384040
robot_8	1779990197	195045290	1779990197197988297	1779990197199179267
robot_7	1779990197	233250448	1779990197234258389	1779990197235166320
robot_6	1779990197	292107400	1779990197293144720	1779990197293816962
robot_8	1779990197	294866521	1779990197295725440	1779990197296241202
robot_7	1779990197	333199457	1779990197334527274	1779990197335760460
robot_6	1779990197	392133533	1779990197393179688	1779990197394013089
robot_8	1779990197	394843831	1779990197395921290	1779990197396473286
robot_7	1779990197	433238746	1779990197434217613	1779990197435023324
robot_6	1779990197	492200192	1779990197494705854	1779990197495463985
robot_8	1779990197	494999194	1779990197497854777	1779990197498428453
robot_7	1779990197	533131751	1779990197534192888	1779990197534925850
robot_6	1779990197	592082404	1779990197593073122	1779990197593794821
robot_8	1779990197	594941552	1779990197595889572	1779990197596350400
robot_7	1779990197	633252894	1779990197634307538	1779990197635146146
robot_6	1779990197	692136427	1779990197693191825	1779990197694014917
robot_8	1779990197	695001014	1779990197696007328	1779990197696574230
robot_7	1779990197	733318827	1779990197734596923	1779990197735634337
robot_6	1779990197	792040853	1779990197793110431	1779990197793777729
robot_8	1779990197	794804354	1779990197795738351	1779990197796303775
robot_7	1779990197	833166761	1779990197834125500	1779990197834819924
robot_6	1779990197	892210570	1779990197895423820	1779990197896288154
robot_8	1779990197	894953946	1779990197897880170	1779990197898414052
robot_7	1779990197	933254718	1779990197934387525	1779990197935570254
robot_6	1779990197	992082012	1779990197993104406	1779990197993782875
robot_8	1779990197	994930442	1779990197995910682	1779990197996424972
robot_7	1779990198	33166415	1779990198034133117	1779990198034918078
robot_6	1779990198	92049390	1779990198093129527	1779990198093801425
robot_8	1779990198	94833711	1779990198095725437	1779990198096241241
robot_7	1779990198	133377731	1779990198134732078	1779990198135853610
robot_6	1779990199	192046688	1779990199193199877	1779990199200642668
robot_8	1779990199	194982062	1779990199196509999	1779990199200858706
robot_7	1779990199	233313922	1779990199234417245	1779990199235422296
robot_6	1779990199	292129931	1779990199293429057	1779990199294207175
robot_8	1779990199	294984634	1779990199296068978	1779990199296705632
robot_7	1779990199	333437922	1779990199335227282	1779990199336320248
robot_6	1779990199	392117437	1779990199393169633	1779990199393908716
robot_8	1779990199	394846181	1779990199395741281	1779990199396242690
robot_7	1779990199	433212060	1779990199434296212	1779990199435016456
robot_6	1779990199	492201197	1779990199495781338	1779990199496500577
robot_8	1779990199	494932467	1779990199498637578	1779990199499245592
robot_7	1779990199	533292552	1779990199534353982	1779990199535168265
robot_6	1779990199	592049818	1779990199592988690	1779990199593732516
robot_8	1779990199	594852038	1779990199595849583	1779990199596346506
robot_7	1779990199	633166422	1779990199634244526	1779990199635007406
